_id,subject,track,date,start,title,teacher,end,mode,room,seats,booked,thumbnail,createdAt,updatedAt,__v
691081332cdcfe6211b15641,Math,Core,2025-11-11T00:00:00.000Z,11:00,Quadratic Equations Practice,Vinayak Sutrave,12:30,Live,Room A2,50,6,https://images.unsplash.com/photo-1627556704302-624286467c65?q=80&w=1200&auto=format&fit=crop,2025-11-10T09:15:00.000Z,2025-11-10T19:44:01.673Z,0
691081332cdcfe6211b15642,English,Grammar Focus,2025-11-12T00:00:00.000Z,10:00,Active & Passive Voice,Priya M,11:15,Live,Room C1,45,8,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?q=80&w=1200&auto=format&fit=crop,2025-11-10T09:20:00.000Z,2025-11-10T09:20:00.000Z,0
691081332cdcfe6211b15643,Social Studies,History,2025-11-12T00:00:00.000Z,12:00,The Indian National Movement,Rajesh H,13:15,Live,Room D1,60,13,https://images.unsplash.com/photo-1573496529574-be85d6a60704?q=80&w=1200&auto=format&fit=crop,2025-11-10T09:25:00.000Z,2025-11-10T19:26:51.280Z,0
691081332cdcfe6211b15644,Science,Chemistry,2025-11-13T00:00:00.000Z,09:30,Chemical Reactions & Equations,Dr. Suma P,11:00,Live,Room B3,55,16,https://images.unsplash.com/photo-1509228627152-72ae9ae6848d?q=80&w=1200&auto=format&fit=crop,2025-11-10T09:30:00.000Z,2025-11-10T19:44:08.111Z,0
691081332cdcfe6211b15645,Mathematics,Geometry,2025-11-13T00:00:00.000Z,11:30,Circles and Tangents,Vinayak Sutrave,12:45,Live,Room A3,50,6,https://images.unsplash.com/photo-1629904853716-f0bc54eea481?q=80&w=1200&auto=format&fit=crop,2025-11-10T09:35:00.000Z,2025-11-10T09:35:00.000Z,0
691081332cdcfe6211b15646,Biology,Core,2025-11-14T00:00:00.000Z,10:00,Life Processes: Nutrition & Respiration,Dr. Kavya N,11:30,Live,Room E2,50,9,https://images.unsplash.com/photo-1581090700227-1e37b190418e?q=80&w=1200&auto=format&fit=crop,2025-11-10T09:40:00.000Z,2025-11-10T09:40:00.000Z,0
691081332cdcfe6211b15648,Social Studies,Civics,2025-11-15T00:00:00.000Z,09:30,Democracy and Diversity,Rajesh H,10:45,Live,Room D2,60,10,https://images.unsplash.com/photo-1551836022-4c4c79ecde51?q=80&w=1200&auto=format&fit=crop,2025-11-10T09:50:00.000Z,2025-11-10T09:50:00.000Z,0
691081332cdcfe6211b15649,Math,Advanced,2025-11-15T00:00:00.000Z,11:00,Trigonometric Identities,Vinayak Sutrave,12:30,Live,Room A4,50,11,https://images.unsplash.com/photo-1509223197845-458d87318791?q=80&w=1200&auto=format&fit=crop,2025-11-10T09:55:00.000Z,2025-11-10T09:55:00.000Z,0
691081332cdcfe6211b1563c,Math,Advanced,2025-11-10T00:00:00.000Z,10:00,Math Revision,Vinayak Sutrave,11:30,Live,Room A1,50,1,https://images.unsplash.com/photo-1509223197845-458d87318791?auto=format&fit=crop&w=1200&q=80,2025-11-09T11:55:31.174Z,2025-11-25T13:47:18.821Z,0
691081332cdcfe6211b15640,Science,Advanced,2025-11-11T00:00:00.000Z,09:00,Physics: Laws of Motion,Arvind K,10:30,Live,Room B2,50,10,https://images.unsplash.com/photo-1635070041078-e363dbe005cb?auto=format&fit=crop&w=1200&q=80,2025-11-10T09:00:00.000Z,2025-11-10T09:10:00.000Z,0
691081332cdcfe6211b15647,English,Literature,2025-11-14T00:00:00.000Z,12:00,Poem Analysis: The Road Not Taken,Priya M,13:15,Live,Room C3,40,7,https://images.unsplash.com/photo-1469474968028-56623f02e42e?auto=format&fit=crop&w=1200&q=80,2025-11-10T09:45:00.000Z,2025-11-10T09:45:00.000Z,0
